bucket,CE,Mean,Var,MCM
≤0,12.2338,14.7187,34.2709,19.4156
0–1,87.6570,7.0453,65.6472,31.9224
1–2,0.1092,29.7378,0.0819,10.6226
2–3,0.0000,4.0688,0.0000,35.0901
3–4,0.0000,3.3042,0.0000,2.9492
4–5,0.0000,3.7411,0.0000,0.0000
5–6,0.0000,4.4238,0.0000,0.0000
6–8,0.0000,12.9984,0.0000,0.0000
8–10,0.0000,12.9164,0.0000,0.0000
≥10,0.0000,7.0453,0.0000,0.0000

method,mean,std,P(mbar<=1)%,P(mbar>=8)%
CE,0.292969,0.338867,99.891,0.000
Mean,3.867188,3.800781,21.819,19.962
Var,0.131348,0.277100,99.918,0.000
MCM,1.167969,1.202148,51.338,0.000
