bucket,ECCV_SaLs[20],ECCV_ZS[20],ECCV_penalty[20],Margin
≤0,2.2838,6.6634,0.1419,0.1155
0–1,1.6997,4.5908,0.1221,0.0429
1–2,2.3861,5.9109,0.2871,0.1287
2–3,2.9175,11.2409,0.4719,0.1980
3–4,3.7789,16.6865,0.9241,0.2805
4–5,4.3894,19.4257,1.6436,0.4653
5–6,5.1782,16.6040,2.4851,0.7162
6–8,14.0165,16.1056,9.9901,2.5413
8–10,18.9934,2.6700,22.0363,5.3102
≥10,44.3564,0.1023,61.8977,90.2013

method,mean,std,P(mbar<=1)%,P(mbar>=8)%
ECCV_SaLs[20],8.929688,inf,3.983,63.350
ECCV_ZS[20],4.042969,inf,11.257,2.772
ECCV_penalty[20],10.515625,inf,0.264,83.934
Margin,14.500000,inf,0.158,95.512
