backbone,method,ECE_ID
CLIP-ViT-B/32,Base,3.89
CLIP-ViT-B/32,MDCA,4.4725
CLIP-ViT-B/32,LS,7.065
CLIP-ViT-B/32,MBLS,3.835
CLIP-ViT-B/32,ECCV_ZS,28.255
CLIP-ViT-B/32,ECCV_Penalty,27.8625
CLIP-ViT-B/32,Temperature,5.7825
CLIP-ViT-B/32,Zero-shot,25.8575
CLIP-ViT-B/16,Base,4.4425
CLIP-ViT-B/16,MDCA,4.825
CLIP-ViT-B/16,LS,7.4075
CLIP-ViT-B/16,MBLS,4.445
CLIP-ViT-B/16,ECCV_ZS,26.535
CLIP-ViT-B/16,ECCV_Penalty,28.41
CLIP-ViT-B/16,Temperature,6.57
CLIP-ViT-B/16,Zero-shot,24.3225
CLIP-ResNet-50,Base,4.4025
CLIP-ResNet-50,MDCA,4.4275
CLIP-ResNet-50,LS,6.12
CLIP-ResNet-50,MBLS,4.1625
CLIP-ResNet-50,ECCV_ZS,28.255
CLIP-ResNet-50,ECCV_Penalty,27.8625
CLIP-ResNet-50,Temperature,5.7825
CLIP-ResNet-50,Zero-shot,20.1175
CLIP-ResNet-101,Base,5.82
CLIP-ResNet-101,MDCA,5.6375
CLIP-ResNet-101,LS,7.9325
CLIP-ResNet-101,MBLS,6.105
CLIP-ResNet-101,ECCV_ZS,25.59
CLIP-ResNet-101,ECCV_Penalty,25.695
CLIP-ResNet-101,Temperature,6.6575
CLIP-ResNet-101,Zero-shot,28.86
PLIP-ViT-B/32,Base,3.383333333
PLIP-ViT-B/32,MDCA,3.588333333
PLIP-ViT-B/32,LS,9.393333332
PLIP-ViT-B/32,MBLS,4.009166667
PLIP-ViT-B/32,ECCV_ZS,3.531666667
PLIP-ViT-B/32,ECCV_Penalty,18.34333334
PLIP-ViT-B/32,Temperature,5.524166667
PLIP-ViT-B/32,Zero-shot,14.4575
QuiltNet-ViT-B/32,Base,3.45
QuiltNet-ViT-B/32,MDCA,3.7825
QuiltNet-ViT-B/32,LS,4.736666667
QuiltNet-ViT-B/32,MBLS,3.46
QuiltNet-ViT-B/32,ECCV_ZS,3.531666667
QuiltNet-ViT-B/32,ECCV_Penalty,16.38083334
QuiltNet-ViT-B/32,Temperature,6.543333334
QuiltNet-ViT-B/32,Zero-shot,17.38916667
Med-VLM-ViT-B/32,Base,6.688333333
Med-VLM-ViT-B/32,MDCA,7.0575
Med-VLM-ViT-B/32,LS,9.5725
Med-VLM-ViT-B/32,MBLS,7.091666667
Med-VLM-ViT-B/32,ECCV_ZS,5.631666667
Med-VLM-ViT-B/32,ECCV_Penalty,21.0275
Med-VLM-ViT-B/32,Temperature,10.07083333
Med-VLM-ViT-B/32,Zero-shot,11.8075
Biomed-VLM-ViT-B/32,Base,6.688333333
Biomed-VLM-ViT-B/32,MDCA,7.0575
Biomed-VLM-ViT-B/32,LS,9.5725
Biomed-VLM-ViT-B/32,MBLS,7.091666667
Biomed-VLM-ViT-B/32,ECCV_ZS,5.631666667
Biomed-VLM-ViT-B/32,ECCV_Penalty,21.0275
Biomed-VLM-ViT-B/32,Temperature,10.07083333
Biomed-VLM-ViT-B/32,Zero-shot,11.8075
Med-VLM-ViT-B/32-X-RaY,Base,23.97
Med-VLM-ViT-B/32-X-RaY,MDCA,23.98833333
Med-VLM-ViT-B/32-X-RaY,LS,24.20166667
Med-VLM-ViT-B/32-X-RaY,MBLS,24.34666667
Med-VLM-ViT-B/32-X-RaY,ECCV_ZS,24.16666667
Med-VLM-ViT-B/32-X-RaY,ECCV_Penalty,23.82
Med-VLM-ViT-B/32-X-RaY,Temperature,23.93333333
Med-VLM-ViT-B/32-X-RaY,Zero-shot,21.36
Biomed-VLM-ViT-B/32-X-RaY,Base,7.781666667
Biomed-VLM-ViT-B/32-X-RaY,MDCA,8.076666667
Biomed-VLM-ViT-B/32-X-RaY,LS,8.225
Biomed-VLM-ViT-B/32-X-RaY,MBLS,8.016666667
Biomed-VLM-ViT-B/32-X-RaY,ECCV_ZS,7.435
Biomed-VLM-ViT-B/32-X-RaY,ECCV_Penalty,7.838333333
Biomed-VLM-ViT-B/32-X-RaY,Temperature,7.823333333
Biomed-VLM-ViT-B/32-X-RaY,Zero-shot,20.095
PLIP-ViT-B/32--Histopathology,Base,7.002222223
PLIP-ViT-B/32--Histopathology,MDCA,6.134444444
PLIP-ViT-B/32--Histopathology,LS,5.685833333
PLIP-ViT-B/32--Histopathology,MBLS,6.186666666
PLIP-ViT-B/32--Histopathology,ECCV_ZS,6.083333334
PLIP-ViT-B/32--Histopathology,ECCV_Penalty,8.352222223
PLIP-ViT-B/32--Histopathology,Temperature,6.377777778
PLIP-ViT-B/32--Histopathology,Zero-shot,13.82
QuiltNet-ViT-B/32-Histopathology,Base,6.214444443
QuiltNet-ViT-B/32-Histopathology,MDCA,5.48
QuiltNet-ViT-B/32-Histopathology,LS,3.7425
QuiltNet-ViT-B/32-Histopathology,MBLS,6.044444444
QuiltNet-ViT-B/32-Histopathology,ECCV_ZS,5.416666668
QuiltNet-ViT-B/32-Histopathology,ECCV_Penalty,11.15888889
QuiltNet-ViT-B/32-Histopathology,Temperature,6.117777778
QuiltNet-ViT-B/32-Histopathology,Zero-shot,16.08
