Modality,Dataset,Method,Vanilla_Method,Ours
Fundus,APTOS,CLIP-DR-ResNet-50,0.32272,0.315848
Fundus,EyePACS,CLIP-DR-ResNet-50,0.39492,0.40024
Fundus,Messidor,CLIP-DR-ResNet-50,0.567198,0.550047
Fundus,Messidor_2,CLIP-DR-ResNet-50,0.490857,0.489354
Fundus,APTOS,CLIP-DR-ResNet-101,0.324625,0.314723
Fundus,EyePACS,CLIP-DR-ResNet-101,0.398325,0.402607
Fundus,Messidor,CLIP-DR-ResNet-101,0.565503,0.562363
Fundus,Messidor_2,CLIP-DR-ResNet-101,0.493944,0.48895
Fundus,APTOS,CLIP-DR-ViT-B/16,0.305034,0.30673
Fundus,EyePACS,CLIP-DR-ViT-B/16,0.385071,0.371616
Fundus,Messidor,CLIP-DR-ViT-B/16,0.539631,0.539434
Fundus,Messidor_2,CLIP-DR-ViT-B/16,0.486312,0.483851
Fundus,APTOS,CLIP-DR-ViT-B/32,0.301702,0.30583
Fundus,EyePACS,CLIP-DR-ViT-B/32,0.388351,0.370455
Fundus,Messidor,CLIP-DR-ViT-B/32,0.573425,0.563359
Fundus,Messidor_2,CLIP-DR-ViT-B/32,0.491492,0.481934
Fundus,APTOS,MedCLIP-DR-B/32,0.563917,0.563441333
Fundus,EyePACS,MedCLIP-DR-B/32,0.419636,0.424214333
Fundus,Messidor,MedCLIP-DR-B/32,0.697619333,0.687935
Fundus,Messidor_2,MedCLIP-DR-B/32,0.581028333,0.570168667
Fundus,APTOS,BioMedCLIP-DR-B/32,0.320678333,0.317174
Fundus,EyePACS,BioMedCLIP-DR-B/32,0.401085667,0.404839
Fundus,Messidor,BioMedCLIP-DR-B/32,0.582377,0.581467
Fundus,Messidor_2,BioMedCLIP-DR-B/32,0.503538667,0.500357667
Fundus,APTOS,PLIP-DR-B/32,0.302615,0.302192
Fundus,EyePACS,PLIP-DR-B/32,0.390601,0.384551333
Fundus,Messidor,PLIP-DR-B/32,0.575128333,0.571161333
Fundus,Messidor_2,PLIP-DR-B/32,0.486529333,0.489126
Fundus,APTOS,QuiltNet-DR-B/32,0.323384,0.317586
Fundus,EyePACS,QuiltNet-DR-B/32,0.393123,0.394186667
Fundus,Messidor,QuiltNet-DR-B/32,0.60206,0.601065333
Fundus,Messidor_2,QuiltNet-DR-B/32,0.503167,0.502882667
Histopathology,DigestPath,PLIP-Histo,0.137915,0.17703
Histopathology,Kather,PLIP-Histo,0.197844,0.20232
Histopathology,Pannuke,PLIP-Histo,0.30347,0.360685
Histopathology,DigestPath,QuiltNet-Histo,0.153295,0.140513
Histopathology,Kather,QuiltNet-Histo,0.122077,0.137778
Histopathology,Pannuke,QuiltNet-Histo,0.309384,0.337144
X-ray,Rsna18,MedCLIP-X-ray,0.665873,0.655861
X-ray,CovidX,MedCLIP-X-ray,0.498611,0.498606
X-ray,Rsna18,BioMedCLIP-X-ray,0.253404,0.242499
X-ray,CovidX,BioMedCLIP-X-ray,0.484472,0.496302
