Modality,Dataset,Method,Vanilla_Method,Ours
Fundus,APTOS,CLIP-DR-ResNet-50,22.22,19.96
Fundus,EyePACS,CLIP-DR-ResNet-50,33.45,31.33
Fundus,Messidor,CLIP-DR-ResNet-50,34.45,34.6
Fundus,Messidor_2,CLIP-DR-ResNet-50,33.42,31.03
Fundus,APTOS,CLIP-DR-ResNet-101,23.13,21.53
Fundus,EyePACS,CLIP-DR-ResNet-101,34.47,32.49
Fundus,Messidor,CLIP-DR-ResNet-101,31.42,31.26
Fundus,Messidor_2,CLIP-DR-ResNet-101,31.74,30.65
Fundus,APTOS,CLIP-DR-ViT-B/16,20.79,19.14
Fundus,EyePACS,CLIP-DR-ViT-B/16,32.42,30.33
Fundus,Messidor,CLIP-DR-ViT-B/16,32.11,30.69
Fundus,Messidor_2,CLIP-DR-ViT-B/16,33.1,31.67
Fundus,APTOS,CLIP-DR-ViT-B/32,17.43,16.89
Fundus,EyePACS,CLIP-DR-ViT-B/32,33.32,30.87
Fundus,Messidor,CLIP-DR-ViT-B/32,28.24,28.17
Fundus,Messidor_2,CLIP-DR-ViT-B/32,29.27,27.41
Fundus,APTOS,MedCLIP-DR-B/32,34.546667,34.09
Fundus,EyePACS,MedCLIP-DR-B/32,37.796667,35.583333
Fundus,Messidor,MedCLIP-DR-B/32,48.956667,48.623333
Fundus,Messidor_2,MedCLIP-DR-B/32,48.04,46.733333
Fundus,APTOS,BioMedCLIP-DR-B/32,15.99,14.15
Fundus,EyePACS,BioMedCLIP-DR-B/32,34.853333,32.39
Fundus,Messidor,BioMedCLIP-DR-B/32,36.326667,36.21
Fundus,Messidor_2,BioMedCLIP-DR-B/32,31.346667,28.62
Fundus,APTOS,PLIP-DR-B/32,15.283333,13.82
Fundus,EyePACS,PLIP-DR-B/32,33.08,30.556667
Fundus,Messidor,PLIP-DR-B/32,28.786667,27.97
Fundus,Messidor_2,PLIP-DR-B/32,28.813333,26.02
Fundus,APTOS,QuiltNet-DR-B/32,18.396667,16.836667
Fundus,EyePACS,QuiltNet-DR-B/32,34.426667,32.216667
Fundus,Messidor,QuiltNet-DR-B/32,25.78,24.61
Fundus,Messidor_2,QuiltNet-DR-B/32,29.236667,26.343333
Histopathology,DigestPath,PLIP-Histo,4.536667,7.78
Histopathology,Kather,PLIP-Histo,8.133333,8.456667
Histopathology,Pannuke,PLIP-Histo,10.623333,15.19
Histopathology,DigestPath,QuiltNet-Histo,5.033333,6.983333
Histopathology,Kather,QuiltNet-Histo,4.966667,5.653333
Histopathology,Pannuke,QuiltNet-Histo,10.426667,14.006667
X-ray,Rsna18,MedCLIP-X-ray,40.306667,39.38
X-ray,CovidX,MedCLIP-X-ray,33.133333,33.106667
X-ray,Rsna18,BioMedCLIP-X-ray,11.493333,8.84
X-ray,CovidX,BioMedCLIP-X-ray,17.136667,17.54
