Modality,Method,Avg_Vanilla_Method,Std_Vanilla_Method,Avg_Ours,Std_Ours
Fundus,CLIP-DR-ResNet-50,30.885,5.7964615643223825,29.23,6.388004383217032
Fundus,CLIP-DR-ResNet-101,30.189999999999998,4.901611979747073,28.9825,5.026923346673722
Fundus,CLIP-DR-ViT-B/16,29.605,5.891193993297681,27.9575,5.90554188876855
Fundus,CLIP-DR-ViT-B/32,27.064999999999998,6.7872650358348805,25.835,6.145380378788606
Fundus,MedCLIP-DR-B/32,42.33500025,7.249094108844837,41.25749975,7.479070134307399
Fundus,BioMedCLIP-DR-B/32,29.62916675,9.329614128309284,27.8425,9.639914850937913
Fundus,PLIP-DR-B/32,26.49083325,7.739294498627222,24.59166675,7.417621001746827
Fundus,QuiltNet-DR-B/32,26.96000025,6.724517350379548,25.00166675,6.342368660956378
Histopathology,PLIP-Histo,7.7644443333333335,3.060054719312277,10.475555666666667,4.096822986937113
Histopathology,QuiltNet-Histo,6.808889000000001,3.133264963556705,8.881110999999999,4.488398181072174
X-ray,MedCLIP-X-ray,36.72,5.072313115116019,36.243333500000006,4.435916304941351
X-ray,BioMedCLIP-X-ray,14.315,3.9904397399006037,13.19,6.151828996322963
